Company, Heuresis Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model, Pb200i,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type, XRF Lead Paint Analyzer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Num.,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
App Version, Pb200i-4.1-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color
,254,-0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:22:57,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,A,Window,Sill,Wood,Intact,,White
,255,6.2,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,13:23:16,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,A,Room,Wall,Wood,Intact,,White
,256,0,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:23:54,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,A,Door,,Wood,Intact,,White
,257,0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:24:12,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,A,Door,Frame,Wood,Intact,,White
,258,0.4,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:25:42,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,D,Room,Wall,Wood,Intact,,White
,259,0.3,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:26:15,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,D,Window,Sash,Wood,Deteriorated,,White
,260,0.5,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:27:41,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,D,Door,,Wood,Intact,,White
,261,0.7,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,4,5/4/2022,13:28:07,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,C,Room,Wall,Wood,Intact,,White
,262,-0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:28:47,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,C,Window,Sill,Wood,Deteriorated,,White
,263,0.9,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,5,5/4/2022,13:29:06,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,C,Window,Sash,Wood,Deteriorated,,White
,264,0.8,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,5,5/4/2022,13:29:39,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,C,Window,Frame,Wood,Deteriorated,,White
,265,0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:30:32,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,D,Window,Frame,Wood,Intact,,White
,266,-0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:30:50,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,D,Window,Sill,Wood,Intact,,White
,267,0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:31:16,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,D,Room,Wall,Wood,Intact,,White
,268,0.9,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,5,5/4/2022,13:33:56,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,Calibration,D,Room,Wall,Wood,Intact,,White
,269,1.2,mg/cm2,0.2,Positive,FALSE,1,FALSE,FALSE,5,5/4/2022,13:34:17,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,Calibration,D,Room,Wall,Wood,Intact,,White
,270,0.9,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,5,5/4/2022,13:34:38,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,Calibration,D,Room,Wall,Wood,Intact,,White
