Company, Heuresis Corp.
Model, Pb200i
Type, XRF Lead Paint Analyzer
Serial Num., 2009
App Version, Pb200i-4.1-11

Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color,
,75,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:04:31,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,D,Door,Jamb,Wood,Deteriorated,,Black,
,76,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:04:52,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,D,Railing,,Wood,Deteriorated,,Black,
,77,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:05:17,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,D,Window,Sill,Vinyl,Deteriorated,,White,
,78,-0.3,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:05:35,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,D,Window,Frame,Vinyl,Deteriorated,,White,
,79,1.2,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,09:06:36,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,Calibration,D,Window,Frame,Vinyl,Deteriorated,,White,
,80,1.1,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,09:06:57,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,Calibration,D,Window,Frame,Vinyl,Deteriorated,,White,
,81,1.1,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,09:07:17,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,Calibration,D,Window,Frame,Vinyl,Deteriorated,,White,
,82,0.8,mg/cm2,0.2,Negative,false,1.00,false,false,5.00,2022-05-04,09:56:08,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,Calibration,D,Window,Frame,Vinyl,Deteriorated,,White,
,83,1.1,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,09:56:29,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,Calibration,D,Window,Frame,Vinyl,Deteriorated,,White,
,84,1.1,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,09:56:50,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Exterior,Calibration,D,Window,Frame,Vinyl,Deteriorated,,White,
,85,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:03:24,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,D,Window,Sill,Wood,Intact,,White,
,86,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:03:41,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,D,Window,Frame,Wood,Intact,,White,
,87,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:03:59,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,D,Window,Sash,Wood,Intact,,White,
,88,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:04:19,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,D,Room,Wall,Drywall,Intact,,White,
,89,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:04:37,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,D,Room,Ceiling,Drywall,Intact,,White,
,90,-0.6,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:05:00,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,D,Room,Floor,Wood,Intact,,Brown,
,91,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:05:23,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,D,Cabinets,,Wood,Intact,,Tan,
,92,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:06:02,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,D,Cabinets,,Wood,Intact,,Grey,
,93,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,10:06:31,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,605 hodges,Apartment / Residential ,Laundry Room,B,Door,Jamb,Drywall,Intact,,White,
